row_type,mode,training_seed,seed_count,run_name,checkpoint,cfg_path,slurm_id,ema_fac,n_eval,eval_seed,endpoint_sliced_w2_direct,endpoint_sliced_w2_euler_5,endpoint_sliced_w2_euler_10,endpoint_sliced_w2_euler_25,endpoint_sliced_w2_euler_50,endpoint_sliced_w2_euler_100,endpoint_sliced_w2_flowmap_1,endpoint_sliced_w2_flowmap_2,endpoint_sliced_w2_flowmap_5,endpoint_sliced_w2_flowmap_10,endpoint_sliced_w2_flowmap_25,marginal_sliced_w2_direct_t0_25,marginal_sliced_w2_euler_5_t0_25,marginal_sliced_w2_euler_10_t0_25,marginal_sliced_w2_euler_25_t0_25,marginal_sliced_w2_euler_50_t0_25,marginal_sliced_w2_euler_100_t0_25,marginal_sliced_w2_direct_t0_50,marginal_sliced_w2_euler_5_t0_50,marginal_sliced_w2_euler_10_t0_50,marginal_sliced_w2_euler_25_t0_50,marginal_sliced_w2_euler_50_t0_50,marginal_sliced_w2_euler_100_t0_50,marginal_sliced_w2_direct_t0_75,marginal_sliced_w2_euler_5_t0_75,marginal_sliced_w2_euler_10_t0_75,marginal_sliced_w2_euler_25_t0_75,marginal_sliced_w2_euler_50_t0_75,marginal_sliced_w2_euler_100_t0_75,analytic_point_violation_pct,analytic_node_trajectory_violation_rate,analytic_trajectory_violation_rate,direct_point_violation_pct,direct_node_trajectory_violation_rate,direct_trajectory_violation_rate,euler_5_point_violation_pct,euler_5_node_trajectory_violation_rate,euler_5_trajectory_violation_rate,euler_10_point_violation_pct,euler_10_node_trajectory_violation_rate,euler_10_trajectory_violation_rate,euler_25_point_violation_pct,euler_25_node_trajectory_violation_rate,euler_25_trajectory_violation_rate,euler_50_point_violation_pct,euler_50_node_trajectory_violation_rate,euler_50_trajectory_violation_rate,euler_100_point_violation_pct,euler_100_node_trajectory_violation_rate,euler_100_trajectory_violation_rate,flowmap_1_point_violation_pct,flowmap_1_node_trajectory_violation_rate,flowmap_1_trajectory_violation_rate,flowmap_2_point_violation_pct,flowmap_2_node_trajectory_violation_rate,flowmap_2_trajectory_violation_rate,flowmap_5_point_violation_pct,flowmap_5_node_trajectory_violation_rate,flowmap_5_trajectory_violation_rate,flowmap_10_point_violation_pct,flowmap_10_node_trajectory_violation_rate,flowmap_10_trajectory_violation_rate,flowmap_25_point_violation_pct,flowmap_25_node_trajectory_violation_rate,flowmap_25_trajectory_violation_rate
per_seed,constrained-flow-map,10,,constrained-flow-map-10,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-map-10_4.pkl,configs.box_avoiding_bezier_comparison,3,0.9999,4096,12345,0.5018414233,0.5860593007,0.4484647043,0.3496829406,0.3405138886,0.3207944015,0.5291837596,0.4200542384,0.3538929656,0.3467102805,0.3413167057,0.2835313226,0.6957753787,0.5238332223,0.3392773512,0.3397602936,0.3172650199,0.4132546483,0.7616899711,0.4634564577,0.4719940802,0.4506413912,0.4528757634,0.3957637963,0.3137272716,0.3005227302,0.3322288776,0.3380178065,0.362382955,0.01509897132,0.01782226562,0.02026367188,4.386616467,0.3312988281,0.3386230469,3.137207031,0.09741210938,0.5612792969,1.580255682,0.09204101562,0.2551269531,0.8375901442,0.1105957031,0.1789550781,0.763537837,0.150390625,0.1862792969,0.7454749381,0.1772460938,0.1979980469,0,0,0.9997558594,1.765950521,0.05297851562,0.861328125,3.308105469,0.1259765625,0.3081054688,1.824396307,0.1284179688,0.294921875,1.313664363,0.185546875,0.2673339844
per_seed,constrained-flow-map,11,,constrained-flow-map-11,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-map-11_4.pkl,configs.box_avoiding_bezier_comparison,3,0.9999,4096,12345,0.4743753409,0.4416750422,0.3235172727,0.3099405426,0.3293439564,0.313960939,0.5052979665,0.4523274761,0.3780034458,0.3688439842,0.3552040112,0.2487637025,0.6946365818,0.5064735642,0.253823951,0.2449541849,0.2088945279,0.3859360016,0.7186680714,0.3003331387,0.3351600562,0.2952978265,0.3033715697,0.4057796087,0.1769917579,0.2246630711,0.2690535906,0.2964117253,0.3222495955,0.01509897132,0.01782226562,0.02026367188,5.310454333,0.5166015625,0.5239257812,3.043619792,0.09521484375,0.5688476562,2.219460227,0.1528320312,0.3605957031,2.131535457,0.3056640625,0.4208984375,2.576880362,0.4243164062,0.490234375,2.869014929,0.4985351562,0.5302734375,0,0,0.9997558594,1.611328125,0.04833984375,0.9689941406,9.375,0.4873046875,0.6865234375,4.674183239,0.4145507812,0.6435546875,3.693096454,0.4926757812,0.6196289062
per_seed,constrained-flow-map,6,,constrained-flow-map-6,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-map-6_4.pkl,configs.box_avoiding_bezier_comparison,3,0.9999,4096,12345,0.4247498623,0.484371834,0.3705578409,0.3122988772,0.3131639316,0.2933568965,0.4479730419,0.3796548215,0.3375399542,0.342189596,0.3276828502,0.2196610532,0.743576004,0.517872859,0.2501451063,0.2264764551,0.1819934873,0.3304813232,0.7345640427,0.2956382251,0.3172237138,0.2491100832,0.2446678212,0.3302394428,0.2364289578,0.229640016,0.2496107602,0.2532199084,0.2797127432,0.01509897132,0.01782226562,0.02026367188,4.287925207,0.3491210938,0.3564453125,4.809570312,0.1706542969,0.6459960938,2.670010653,0.1767578125,0.3793945312,2.14468149,0.2856445312,0.3701171875,2.368164062,0.3559570312,0.3986816406,2.575804455,0.3981933594,0.4189453125,0,0,0.9997558594,1.676432292,0.0498046875,0.8598632812,6.209309896,0.30078125,0.4729003906,3.739790483,0.3059082031,0.4765625,3.198242188,0.3857421875,0.4704589844
per_seed,constrained-flow-map,7,,constrained-flow-map-7,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-map-7_4.pkl,configs.box_avoiding_bezier_comparison,3,0.9999,4096,12345,0.5687395084,0.4670889566,0.3898582628,0.3961411194,0.4187251396,0.3950588353,0.602423413,0.4988905483,0.4258110256,0.4318190775,0.4312691759,0.2455838745,0.7289926186,0.5435954207,0.3401206807,0.330879609,0.2989848549,0.3998175094,0.832653842,0.5144863537,0.5004053813,0.4504815538,0.44691037,0.493833676,0.3436827169,0.3412618237,0.3803243966,0.3918934132,0.4130294289,0.01509897132,0.01782226562,0.02026367188,4.275078904,0.3405761719,0.34765625,2.506510417,0.0771484375,0.57421875,2.377041903,0.1728515625,0.4279785156,2.865835337,0.4240722656,0.5517578125,3.420362286,0.5637207031,0.6306152344,3.817054069,0.63671875,0.6726074219,0.01220703125,0.000244140625,0.9997558594,2.156575521,0.05029296875,0.9448242188,7.784016927,0.3974609375,0.6953125,5.215731534,0.4731445312,0.7153320312,4.735389123,0.615234375,0.7373046875
per_seed,constrained-flow-map,8,,constrained-flow-map-8,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-map-8_4.pkl,configs.box_avoiding_bezier_comparison,3,0.9999,4096,12345,0.4999841634,0.3547053594,0.2181100513,0.150157611,0.13244677,0.1314745029,0.5288291706,0.3112449263,0.1734457807,0.1633073001,0.1424714439,0.2008282475,0.722923702,0.490010966,0.2288947391,0.2058808194,0.1666864122,0.315410341,0.7013214455,0.2901399316,0.2586193087,0.2190679364,0.2159291616,0.3275066086,0.2693862532,0.2839555513,0.1914582704,0.2075004034,0.206351332,0.01509897132,0.01782226562,0.02026367188,3.78649324,0.2221679688,0.2253417969,3.430175781,0.111328125,0.6970214844,1.575816761,0.0966796875,0.2868652344,0.7709209736,0.1198730469,0.1999511719,0.7625804228,0.1684570312,0.2106933594,0.8080812964,0.205078125,0.2312011719,0,0,0.9997558594,1.668294271,0.05004882812,0.8115234375,3.072102865,0.119140625,0.2482910156,1.387162642,0.1040039062,0.2741699219,1.178448017,0.1896972656,0.2805175781
per_seed,constrained-flow-map,9,,constrained-flow-map-9,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-map-9_4.pkl,configs.box_avoiding_bezier_comparison,3,0.9999,4096,12345,0.4006676925,0.3840421041,0.3127158498,0.3334169167,0.3505931012,0.333876646,0.4199455244,0.3611816554,0.3497992604,0.3546049823,0.3576513039,0.2470302024,0.7696603292,0.5405646502,0.2774518541,0.2648006414,0.2220857809,0.3640224135,0.7676056963,0.3322345961,0.369296899,0.3301756714,0.3325919216,0.3306977989,0.2278469655,0.2886350264,0.3189079977,0.346080343,0.3635967042,0.01509897132,0.01782226562,0.02026367188,4.543085645,0.3295898438,0.333984375,5.139160156,0.1599121094,0.6867675781,3.235973011,0.2182617188,0.4807128906,2.904334435,0.4309082031,0.5766601562,3.36339614,0.5778808594,0.6501464844,3.718189202,0.6577148438,0.6918945312,0,0,1,1.692708333,0.05078125,0.9763183594,8.931477865,0.4621582031,0.74609375,4.927201705,0.4465332031,0.7426757812,4.487492488,0.6171875,0.7534179688
per_seed,constrained-flow-matching,10,,constrained-flow-matching-10,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-matching-10_4.pkl,configs.box_avoiding_bezier_comparison,2,0.9999,4096,12345,1.61558442,0.7394714141,0.6306843646,0.5722515275,0.561978999,0.5282547427,1.520555761,0.8176659609,0.611041058,0.5516266332,0.5312561892,0.3003043097,0.7958554163,0.5702517045,0.3194840125,0.3141704403,0.2846444265,0.7005208899,0.8780584573,0.5101556402,0.49495776,0.4513199633,0.4495119886,1.076975779,0.4412155398,0.3569162511,0.4232861627,0.4209516117,0.4466558751,0.01509897132,0.01782226562,0.02026367188,7.902119701,0.3020019531,0.3032226562,6.917317708,0.21875,0.6328125,2.820933949,0.1333007812,0.2290039062,0.9399414062,0.09301757812,0.138671875,0.621361826,0.1037597656,0.1369628906,0.5112449722,0.1174316406,0.1372070312,0,0,0.849609375,5.428059896,0.1628417969,0.3642578125,3.328450521,0.111328125,0.2377929688,1.962002841,0.09130859375,0.1752929688,0.918344351,0.1027832031,0.1572265625
per_seed,constrained-flow-matching,11,,constrained-flow-matching-11,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-matching-11_4.pkl,configs.box_avoiding_bezier_comparison,2,0.9999,4096,12345,1.924597351,0.6053974923,0.5172492561,0.471254477,0.4864682199,0.4528789797,1.82267866,0.6694125652,0.4737824862,0.4713748384,0.4776876349,0.293840393,0.7907636513,0.5550655064,0.2641144175,0.2520736225,0.2192579581,0.5777678222,0.8221630371,0.3358772597,0.3970066524,0.3508045402,0.355614757,1.021453113,0.2639108136,0.251327855,0.3596961369,0.3680211549,0.4047411381,0.01509897132,0.01782226562,0.02026367188,8.498468185,0.263671875,0.2641601562,7.299804688,0.2072753906,0.615234375,3.384676847,0.1672363281,0.3208007812,2.044208233,0.2614746094,0.3771972656,2.040249694,0.3610839844,0.4235839844,2.115079672,0.4213867188,0.4519042969,0,0,0.6999511719,5.834960938,0.1750488281,0.3845214844,4.471842448,0.1694335938,0.3322753906,3.480113636,0.2160644531,0.4089355469,2.63296274,0.3449707031,0.4658203125
per_seed,constrained-flow-matching,6,,constrained-flow-matching-6,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-matching-6_4.pkl,configs.box_avoiding_bezier_comparison,2,0.9999,4096,12345,2.597151483,0.5937865167,0.4619404902,0.4343205575,0.4442328293,0.4127430707,2.472663613,0.6842896339,0.3860212966,0.4044389096,0.4150812439,0.3427577699,0.779546548,0.5524113877,0.2760295695,0.2556823706,0.2149329551,1.198775543,0.9325572947,0.5196727202,0.4180627651,0.3469142972,0.3379079287,1.927029221,0.5863644812,0.3453972041,0.3275065771,0.3206199667,0.3422796869,0.01509897132,0.01782226562,0.02026367188,7.566350238,0.4616699219,0.462890625,7.629394531,0.2199707031,0.6252441406,3.464577415,0.1479492188,0.2658691406,1.344651442,0.1513671875,0.2497558594,1.134057138,0.2255859375,0.291015625,1.155437809,0.2807617188,0.31640625,0,0,0.5949707031,4.858398438,0.1457519531,0.3684082031,4.972330729,0.162109375,0.3041992188,3.102805398,0.150390625,0.3088378906,1.7578125,0.2211914062,0.3369140625
per_seed,constrained-flow-matching,7,,constrained-flow-matching-7,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-matching-7_4.pkl,configs.box_avoiding_bezier_comparison,2,0.9999,4096,12345,2.831686336,0.5722624691,0.4612015745,0.4082664593,0.414219838,0.3836128125,2.67115399,0.7884902885,0.4013801289,0.3867647651,0.3965692253,0.2757904342,0.833335385,0.5777997698,0.3198521597,0.3071567034,0.2736403784,0.6996740576,1.004182882,0.5882811171,0.4920711597,0.4354367094,0.4293657411,1.523343801,0.6196241285,0.3871079399,0.3752510181,0.3676859391,0.3937575391,0.01509897132,0.01782226562,0.02026367188,7.299561156,0.3142089844,0.3154296875,7.527669271,0.2233886719,0.7265625,3.287020597,0.1455078125,0.2614746094,1.235727163,0.1596679688,0.2609863281,1.102462469,0.232421875,0.2958984375,1.142384746,0.2854003906,0.3127441406,0,0,0.5405273438,5.029296875,0.1508789062,0.3459472656,3.751627604,0.1394042969,0.2697753906,2.545720881,0.1401367188,0.3059082031,1.570951022,0.2153320312,0.3244628906
per_seed,constrained-flow-matching,8,,constrained-flow-matching-8,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/constrained-flow-matching-8_4.pkl,configs.box_avoiding_bezier_comparison,2,0.9999,4096,12345,1.50813539,0.5568444447,0.4305326369,0.3557344123,0.3572598241,0.3300398314,1.442394252,0.6390770095,0.3864911736,0.3472075133,0.3462622324,0.2689230757,0.8074734044,0.5535829967,0.239498452,0.2091043079,0.1521272719,0.5093337482,0.8396048078,0.3383330286,0.3224346096,0.2334793291,0.2306859565,0.813801276,0.3152403958,0.1855226658,0.2392526262,0.2303966069,0.2632462038,0.01509897132,0.01782226562,0.02026367188,8.701634585,0.25,0.2514648438,8.166503906,0.2248535156,0.7121582031,3.051757812,0.14453125,0.2368164062,0.7784329928,0.07958984375,0.1298828125,0.4715265012,0.09521484375,0.1337890625,0.3853070854,0.1184082031,0.142578125,0,0,0.8623046875,5.900065104,0.1770019531,0.376953125,3.487141927,0.1135253906,0.2387695312,2.155095881,0.09619140625,0.1860351562,0.8817232572,0.09814453125,0.169921875
